Name,Country,Type,Lat,Lon,Altitude
Mega Basalt Field,Ethiopia,Pyroclastic cones,4.08,37.42,1067
Megata,Honshu-Japan,Maars,39.95,139.73,291
Mehetia,Society Is-C Pacific,Stratovolcano,-17.87,-148.07,435
Meidob Volc Field,Africa-N,Scoria cones,15.32,26.47,2000
Melbourne,Antarctica,Stratovolcano,-74.35,164.7,2732
Melimoyu,Chile-S,Stratovolcano,-44.08,-72.88,2400
Menan Buttes,US-Idaho,Tuff cone,43.6,-111.5,1713
Mendeleev,Kuril Is,Stratovolcano,43.98,145.74,888
Menengai,Africa-E,Shield volcano,-0.2,36.07,2278
Mentolat,Chile-S,Stratovolcano,-44.7,-73.08,1660
Merapi,Java,Stratovolcano,-7.54,110.44,2968
Merbabu,Java,Stratovolcano,-7.45,110.43,3145
Mere Lava,Vanuatu-SW Pacific,Stratovolcano,-14.45,168.05,1028
Meru,Africa-E,Stratovolcano,-3.25,36.75,4565
Methana,Greece,Lava domes,37.62,23.34,760
Metis Shoal,Tonga-SW Pacific,Submarine volcano,-19.18,-174.87,43
Mezhdusopochny,Kamchatka,Shield volcano,57.47,160.25,1641
Michael,Antarctica,Stratovolcano,-57.78,-26.45,990
Michoac n-Guanajuato,Mexico,Cinder cones,19.85,-101.75,3860
Middle Gobi,Mongolia,Cinder cones,45.28,106.7,1120
Mikura-jima,Izu Is-Japan,Stratovolcano,33.87,139.61,851
Milbanke Sound Group,Canada,Cinder cones,52.5,-128.73,335
Milne,Kuril Is,Somma volcano,46.82,151.78,1540
M los,Greece,Stratovolcanoes,36.7,24.44,751
Minami Kasuga,Volcano Is-Japan,Submarine volcano,21.6,143.64,-274
Minami-Hiyoshi,Volcano Is-Japan,Submarine volcano,23.5,141.94,-30
Minchinm vida,Chile-S,Stratovolcano,-42.79,-72.44,2404
Mi iques,Chile-N,Stratovolcanoes,-23.82,-67.77,5910
Miravalles,Costa Rica,Stratovolcano,10.75,-85.15,2028
"Misti, El",Peru,Stratovolcano,-16.29,-71.41,5822
Miyake-jima,Izu Is-Japan,Stratovolcano,34.08,139.53,815
Mocho-Choshuenco,Chile-C,Stratovolcanoes,-39.93,-72.03,2422
Moffett,Aleutian Is,Stratovolcano,51.94,-176.75,1196
Mojanda,Ecuador,Stratovolcanoes,0.13,-78.27,4263
Mokuyo Seamount,Izu Is-Japan,Submarine volcano,28.32,140.57,-920
Mombacho,Nicaragua,Stratovolcano,11.83,-85.97,1344
Momotombo,Nicaragua,Stratovolcano,12.42,-86.54,1297
Monaco Bank,Azores,Submarine volcano,37.6,-25.88,-197
Mono Craters,US-California,Lava domes,37.88,-119,2796
Mono Lake Volc Field,US-California,Cinder cones,38,-119.03,2121
Monowai Seamount,Kermadec Is,Submarine volcano,-25.89,-177.19,-100
Montagu Island,Antarctica,Shield volcano,-58.42,-26.33,1370
Moti,Halmahera-Indonesia,Stratovolcano,0.45,127.4,950
Motlav,Vanuatu-SW Pacific,Stratovolcano,-13.67,167.67,411
Moua Pihaa,Society Is-C Pacific,Submarine volcano,-18.32,-148.67,-160
Mousa Alli,Ethiopia,Stratovolcano,12.47,42.4,2028
Moyuta,Guatemala,Stratovolcano,14.03,-90.1,1662
Muhavura,Africa-C,Stratovolcano,-1.38,29.67,4127
Mundua,New Britain-SW Pac,Complex volcano,-4.63,149.35,179
Muria,Java,Stratovolcano,-6.62,110.88,1625
Musa River,New Guinea,Hydrothermal field,-9.31,148.13,808
Musuan,Mindanao-Philippines,Lava dome,7.88,125.07,646
Mutnovsky,Kamchatka,Complex volcano,52.45,158.2,2322
Myojin Knoll,Izu Is-Japan,Submarine volcano,32.1,139.85,360
Myoko,Honshu-Japan,Stratovolcano,36.89,138.12,2446
Nabro,Ethiopia,Stratovolcano,13.37,41.7,2218
Nabukelevu,Fiji Is-SW Pacific,Lava domes,-19.12,177.98,805
Nakano-shima,Ryukyu Is,Stratovolcanoes,29.86,129.86,979
Namarunu,Africa-E,Shield volcano,1.98,36.43,817
Nantai,Honshu-Japan,Stratovolcano,36.76,139.49,2486
Naolinco Volc Field,Mexico,Pyroclastic cones,19.67,-96.75,2000
Narcondum,Andaman Is-Indian O,Stratovolcano,13.43,94.28,710
Narugo,Honshu-Japan,Caldera,38.73,140.73,470
Nasu,Honshu-Japan,Stratovolcanoes,37.12,139.97,1915
Natib,Luzon-Philippines,Stratovolcano,14.72,120.4,1253
Navajo Volcanic Field,US-Arizona,Volcanic field,,,
Nazko,Canada,Cinder cones,52.9,-123.73,1230
Ndete Napu,Lesser Sunda Is,Fumarole field,-8.72,121.78,750
"Negra, Sierra",Gal pagos,Shield volcano,-0.83,-91.17,1124
"Negrillar, El",Chile-N,Pyroclastic cones,-24.18,-68.25,3500
"Negrillar, La",Chile-N,Pyroclastic cones,-24.28,-68.6,4109
"Negro de Mayasquer, Cerro",Colombia,Stratovolcano,0.83,-77.96,4445
"Negro, Cerro",Nicaragua,Cinder cones,12.51,-86.7,728
Nejapa-Miraflores,Nicaragua,Fissure vents,12.12,-86.32,360
Nemo Peak,Kuril Is,Caldera,49.57,154.81,1018
Nemrut Dagi,Turkey,Stratovolcano,38.65,42.23,2948
"Nevada, Sierra",Chile-N,Complex volcano,-26.48,-68.58,6127
Nevis Peak,W Indies,Stratovolcano,17.15,-62.58,985
Newberry,US-Oregon,Shield volcano,43.72,-121.23,2434
Newer Volcanics Prov,Australia,Shield volcanoes,-37.77,142.5,1011
Ngaoundere Plateau,Africa-W,Volcanic field,7.25,13.67,
Ngozi,Africa-E,Caldera,-8.97,33.57,2622
"Nicholson, Cerro",Peru,Cinder cone,-16.26,-71.73,2520
Nieuwerkerk,Banda Sea,Submarine volcano ?,-6.6,124.68,-2285
Niigata-Yake-yama,Honshu-Japan,Lava dome,36.92,138.04,2400
Nii-jima,Izu Is-Japan,Lava domes,34.39,139.27,432
Nikko,Volcano Is-Japan,Submarine volcano,23.08,142.31,-391
Nikko-Shirane,Honshu-Japan,Shield volcano,36.8,139.38,2578
Nila,Banda Sea,Stratovolcano,-6.73,129.5,781
Nipesotsu-Maruyama,Hokkaido-Japan,Stratovolcanoes,43.45,143.04,2013
Niseko,Hokkaido-Japan,Stratovolcanoes,42.88,140.63,1154
Nishino-shima,Volcano Is-Japan,Caldera,27.27,140.88,38
Nisyros,Greece,Stratovolcano,36.59,27.16,698
Niuafo'ou,Tonga-SW Pacific,Shield volcano,-15.6,-175.63,260
Norikura,Honshu-Japan,Stratovolcanoes,36.1,137.56,3026
North Gorda Ridge,Pacific-NE,Submarine volcano,42.67,-126.78,-3000
North Island,Africa-E,Tuff cones,4.07,36.05,520
North Sister Field,US-Oregon,Complex volcano,44.17,-121.77,3074
North Vate,Vanuatu-SW Pacific,Stratovolcanoes,-17.47,168.35,594
Northern EPR-Segment RO2,Pacific-E,Submarine volcano,16.55,-105.32,-2700
Northern EPR-Segment RO3,Pacific-E,Submarine volcano,15.83,-105.43,-2300
Nosy-Be,Madagascar,Cinder cones,-13.32,48.48,214
Novarupta,Alaska Peninsula,Caldera,58.27,-155.16,841
Nuevo Mundo,Bolivia,Lava domes,-19.78,-66.48,5438
Numazawa,Honshu-Japan,Shield volcano,37.45,139.58,1100
Nunivak Island,Alaska-W,Shield volcano,60.02,-166.33,511
NW Eifuku,Volcano Is-Japan,Submarine volcano,21.49,144.04,-1535
NW Rota-1,Mariana Is-C Pacific,Submarine volcano,14.6,144.78,-517
Nyambeni Hills,Africa-E,Shield volcano,0.23,37.87,750
Nyamuragira,Africa-C,Shield volcano,-1.41,29.2,3058
Nyiragongo,Africa-C,Stratovolcano,-1.52,29.25,3470
Nylgimelkin,Kamchatka,Shield volcanoes,57.97,160.65,1764
O'a Caldera,Ethiopia,Caldera,7.47,38.58,2075
Oahu Island,US-Hawaii,,,,
Ofu-Olosega,Samoa-SW Pacific,Shield volcanoes,-14.18,-169.62,639
"Ojos del Salado, Nevados",Chile-N,Stratovolcano,-27.12,-68.55,6887
Oka Plateau,Russia-SE,Cinder cones,52.7,98.98,2077
Okataina,New Zealand,Lava domes,-38.12,176.5,1111
Oki-Dogo,Honshu-Japan,Shield volcano,36.18,133.33,151
Okmok,Aleutian Is,Shield volcano,53.43,-168.13,1073
Oku Volc Field,Africa-W,Stratovolcano,6.25,10.5,3011
Ol Doinyo Lengai,Africa-E,Stratovolcano,-2.77,35.91,2962
Ol Kokwe,Africa-E,Shield volcano,0.62,36.08,1130
Olca-Paruma,Chile-N,Stratovolcanoes,-20.93,-68.48,5407
Olkaria,Africa-E,Pumice cones,-0.9,36.29,2434
Olkoviy Volc Group,Kamchatka,Volcanic field,52.02,157.53,681
Ollag e,Chile-N,Stratovolcano,-21.3,-68.18,5868
Olot Volc Field,Spain,Pyroclastic cones,42.17,2.53,893
Omanago Group,Honshu-Japan,Lava domes,36.79,139.51,2367
On-take,Honshu-Japan,Complex volcano,35.89,137.48,3063
Opala,Kamchatka,Caldera,52.54,157.34,2475
 raefaj kull,Iceland-SE,Stratovolcano,64,-16.65,2119
"Orizaba, Pico de",Mexico,Stratovolcano,19.03,-97.27,5675
Oros ,Costa Rica,Stratovolcanoes,10.98,-85.47,1659
Oshima,Izu Is-Japan,Stratovolcano,34.72,139.4,764
Oshima-Oshima,Hokkaido-Japan,Stratovolcano,41.51,139.37,737
Osore-yama,Honshu-Japan,Stratovolcano,41.28,141.12,879
Osorno,Chile-S,Stratovolcano,-41.1,-72.49,2652
Ostanets,Kamchatka,Shield volcanoes,52.15,157.32,719
Ostry,Kamchatka,Stratovolcano,58.18,160.82,2552
Otdelniy,Kamchatka,Shield volcanoes,52.22,157.43,791
"Overo, Cerro",Chile-N,Maar,23.52,-67.67,4555
Ozernoy,Kamchatka,Shield volcano,51.88,157.38,562
Pacaya,Guatemala,Complex volcano,14.38,-90.6,2552
Paco,Mindanao-Philippines,Stratovolcano,9.59,125.52,524
Pagan,Mariana Is-C Pacific,Stratovolcanoes,18.13,145.8,570
Pago,New Britain-SW Pac,Caldera,-5.58,150.52,742
Paka,Africa-E,Shield volcano,0.92,36.18,1697
Palei-Aike Volc Field,Chile-S,Cinder cones,-52,-70,282
Palena Volc Group,Chile-S,Cinder cones,-43.78,-72.47,
Palomo,Chile-C,Stratovolcano,-34.61,-70.3,4860
Paluweh,Lesser Sunda Is,Stratovolcano,-8.32,121.71,875
Pampa Luxsar,Bolivia,Volcanic field,-20.85,-68.2,5543
Panarea,Italy,Stratovolcano,38.63,15.07,421
Pantelleria,Italy,Shield volcano,36.77,12.02,836
"Pantoja, Cerro",Chile-C,Stratovolcano,-40.77,-71.95,2024
Papandayan,Java,Stratovolcanoes,-7.32,107.73,2665
Papayo,Mexico,Lava dome,19.31,-98.7,3600
Paracutin,Mexico,Cinder cone,19.5,-102.2,3170
Parinacota,Chile-N,Stratovolcano,-18.17,-69.15,6348
Parker,Mindanao-Philippines,Stratovolcano,6.11,124.89,1824
Patah,Sumatra,Unknown,-4.27,103.3,2817
Patoc,Luzon-Philippines,Stratovolcano,17.15,120.98,1865
Patuha,Java,Stratovolcano,-7.16,107.4,2434
Paulet,Antarctica,Cinder cone,-63.58,-55.77,353
Pauzhetka,Kamchutka,Caldera,51.43,156.93,1331
Pavlof,Alaska Peninsula,Stratovolcano,55.42,-161.89,2519
Pavlof Sister,Alaska Peninsula,Stratovolcano,55.45,-161.84,2142
Pay n Matru,Argentina,Shield volcano,-36.42,-69.2,3680
Peinado,Argentina,Stratovolcano,-26.62,-68.15,5740
Pel e,W Indies,Stratovolcano,14.82,-61.17,1397
Penanggungan,Java,Stratovolcano,-7.62,112.63,1653
Pendan,Sumatra,Unknown,-2.82,102.02,
Penguin Island,Antarctica,Stratovolcano,-62.1,-57.93,180
Perbakti-Gagak,Java,Stratovolcanoes,-6.75,106.7,1699
Petacas,Colombia,Lava dome,1.57,-76.78,4054
Peter I Island,Antarctica,Shield volcano,-68.85,-90.58,1640
Peuet Sague,Sumatra,Complex volcano,4.91,96.33,2801
Pico,Azores,Stratovolcano,38.47,-28.4,2351
Picos Volc System,Azores,Pyroclastic cones,37.78,-25.67,350
Piip,Kamchatka-E of,Submarine volcano,55.42,167.33,-300
"Pilas, Las",Nicaragua,Complex volcano,12.5,-86.69,1088
Pinacate,Mexico,Cinder cones,31.77,-113.5,1200
Pinatubo,Luzon-Philippines,Stratovolcano,15.13,120.35,1486
Pinta,Gal pagos,Shield volcano,0.58,-90.75,780
Piratkovsky,Kamchatka,Stratovolcano,52.11,157.85,1322
Pisgah Lava Field,US-California,Lava Field,34.75,-115.38,774
Planch n-Peteroa,Chile-C,Stratovolcanoes,-35.24,-70.57,4107
"Plat Pays, Morne",W Indies,Stratovolcano,15.26,-61.34,940
Platanar,Costa Rica,Stratovolcanoes,10.3,-84.37,2267
"Pleiades, The",Antarctica,Stratovolcano,-72.67,165.5,3040
Plosky,Kamchatka,Shield volcano,55.2,158.47,1236
Plosky,Kamchatka,Shield volcano,57.83,160.25,1255
Po s,Costa Rica,Stratovolcano,10.2,-84.23,2708
Pocdol Mountains,Luzon-Philippines,Compound volcano,13.05,123.96,1102
Poco Leok,Lesser Sunda Is,Stratovolcano,-8.68,120.48,1675
Pogranychny,Kamchatka,Shield volcanoes,56.85,159.8,1427
Popa,SE Asia,Stratovolcano,20.92,95.25,1518
Popocat petl,Mexico,Stratovolcanoes,19.02,-98.62,5426
Porak,Armenia,Stratovolcano,40.02,45.78,2800
"Possession, Ile de la",Indian O.-S,Stratovolcano,-46.42,51.75,934
Prestahnukur,Iceland-SW,Subglacial volcano,64.6,-20.58,1390
Prevo Peak,Kuril Is,Stratovolcano,47.02,152.12,1360
"Prieto, Cerro",Mexico,Lava dome,32.42,-115.31,223
Prince Edward Island,Indian O.,Shield volcano,-46.63,37.95,672
Protector Shoal,Antarctica,Submarine volcano,-55.92,-28.08,-27
Puesto Cortaderas,Argentina,Pyroclastic cone,-37.57,-69.62,970
Pular,Chile-N,Stratovolcanoes,-24.19,-68.05,6233
Pulosari,Java,Stratovolcano,-6.34,105.98,1346
Pululagua,Ecuador,Caldera,0.04,-78.46,3356
Puntiagudo-Cord n Cenizos,Chile-C,Stratovolcano,-40.97,-72.26,2493
Purac ,Colombia,Stratovolcanoes,2.32,-76.4,4650
Purico Complex,Chile-N,Pyroclastic shield,-23,-67.75,5703
Putana,Chile-N,Stratovolcano,-22.55,-67.85,5890
Puyehue-Cord n Caulle,Chile-C,Stratovolcano,-40.59,-72.12,2236
Puyuhuapi,Chile-S,Cinder cones,-44.3,-72.53,524
Qal'eh Hasan Ali,Iran,Maars,29.4,57.57,
Qualibou,W Indies,Caldera,13.83,-61.05,777
Quetrupillan,Chile-C,Stratovolcano,-39.5,-71.7,2360
Quezaltepeque,Guatemala,Volcanic field,14.57,-89.45,1200
"Quill, The",W Indies,Stratovolcano,17.48,-62.96,601
Quilotoa,Ecuador,Caldera,-0.85,-78.9,3914
Quimsachata,Peru,Lava dome,-14.2,-71.33,3923
Rabaul,New Britain-SW Pac,Pyroclastic shield,-4.27,152.2,688
Ragang,Mindanao-Philippines,Stratovolcano,7.7,124.5,2815
"Rahah, Harrat ar",Arabia-W,Volcanic field,27.8,36.17,1950
"Rahat, Harrat",Arabia-W,Volcanic field,23.08,39.78,1744
Raikoke,Kuril Is,Stratovolcano,48.29,153.25,551
Rainier,US-Washington,Stratovolcano,46.85,-121.76,4392
Rajabasa,Sumatra,Stratovolcano,-5.78,105.63,1281
Ranakah,Lesser Sunda Is,Lava domes,-8.62,120.52,2350
Ranau,Sumatra,Caldera,-4.83,103.92,1881
Raoul Island,Kermadec Is,Stratovolcano,-29.27,-177.92,516
Rasshua,Kuril Is,Stratovolcano,47.77,153.02,956
Raung,Java,Stratovolcano,-8.13,114.04,3332
Rausu,Hokkaido-Japan,Stratovolcano,44.07,145.13,1660
Recheschnoi,Aleutian Is,Stratovolcano,53.16,-168.54,1984
Reclus,Chile-S,Cinder cone,-50.96,-73.59,1000
Redoubt,Alaska-SW,Stratovolcano,60.49,-152.74,3108
Reporoa,New Zealand,Caldera,-38.42,176.33,592
Resago,Chile-C,Cinder cone,-36.45,-70.92,1890
Reventador,Ecuador,Stratovolcano,-0.08,-77.66,3562
Reykjanes,Iceland-SW,Crater rows,63.88,-22.5,230
Reykjaneshryggur,Iceland-SW,Submarine volcanoes,63.67,-23.33,80
Rinc n de la Vieja,Costa Rica,Complex volcano,10.83,-85.32,1916
Rinjani,Lesser Sunda Is,Stratovolcano,-8.42,116.47,3726
R o Murta,Chile-S,Pyroclastic cones,-46.17,-72.67,
Risco Plateado,Argentina,Stratovolcano,-34.93,-70,4999
Rishiri,Hokkaido-Japan,Stratovolcano,45.18,141.25,1721
Ritter Island,New Guinea-NE of,Stratovolcano,-5.52,148.12,140
Robinson Crusoe,Chile-Is,Shield volcanoes,-33.66,-78.85,922
Robledo,Argentina,Caldera,-26.77,-67.72,4400
Rocard,Society Is-C Pacific,Submarine volcano,-17.64,-148.6,-2100
Romanovka,Kamchatka,Stratovolcano,55.65,158.8,1442
Romeral,Colombia,Stratovolcano,5.21,-75.36,3858
Rota,Nicaragua,Stratovolcano,12.55,-86.75,832
Roundtop,Aleutian Is,Stratovolcano,54.8,-163.59,1871
Royal Society Range,Antarctica,Cinder cones,-78.25,163.33,3000
Ruang,Sangihe Is-Indonesia,Stratovolcano,2.3,125.37,725
Ruapehu,New Zealand,Stratovolcano,-39.28,175.57,2797
Ruby,Mariana Is-C Pacific,Submarine volcano,15.62,145.57,-230
Rudakov,Kuril Is,Stratovolcano,45.88,149.83,542
"Ruiz, Nevado del",Colombia,Stratovolcano,4.9,-75.32,5321
Rumble II West,New Zealand,Submarine volcano,-35.35,178.53,1200
Rumble III,New Zealand,Submarine volcano,-35.75,178.48,-220
Rumble IV,New Zealand,Submarine volcano,-36.13,178.05,500
Rumble V,New Zealand,Submarine volcano,-36.14,178.2,400
Rungwe,Africa-E,Stratovolcano,-9.13,33.67,2961
Saba,W Indies,Stratovolcano,17.63,-63.23,887
Sabalan,Iran,Stratovolcano,38.25,47.92,4811
Sabancaya,Peru,Stratovolcanoes,-15.78,-71.85,5967
Sahand,Iran,Stratovolcano,37.75,46.43,3707
Sairecabur,Chile-N,Stratovolcanoes,-22.72,-67.89,5971
Sakar,New Guinea-NE of,Stratovolcano,-5.41,148.09,992
Sakura-jima,Kyushu-Japan,Stratovolcano,31.59,130.66,1117
Salak,Java,Stratovolcano,-6.72,106.73,2211
San Borja Volc Field,Mexico,Cinder cones,28.5,-113.75,1360
San Carlos,Africa-W,Shield volcano,3.35,8.52,2260
San Crist bal,Nicaragua,Stratovolcano,12.7,-87,1745
San Crist bal,Gal pagos,Shield volcano,-0.88,-89.5,759
San Diego,El Salvador,Volcanic field,14.27,-89.48,781
San F lix,Chile-Is,Shield volcano,-26.28,-80.12,193
San Joaquin,Africa-W,Shield volcano,3.35,8.63,2009
San Jorge,Azores,Fissure vent,38.65,-28.08,1053
San Jos ,Chile-C,Stratovolcano,-33.78,-69.9,5856
"San Luis, Isla",Mexico,Tuff cone,29.97,-114.4,180
San Mart n,Mexico,Shield volcano,18.57,-95.2,1650
San Miguel,El Salvador,Stratovolcano,13.43,-88.27,2130
San Pablo Volc Field,Luzon-Philippines,Stratovolcano,14.12,121.3,1090
San Pedro,Chile-N,Stratovolcanoes,-21.88,-68.4,6145
San Pedro-Pellado,Chile-C,Stratovolcanoes,-35.99,-70.85,3621
San Quint n Volc Field,Mexico,Cinder cones,30.47,-116,260
San Salvador,El Salvador,Stratovolcano,13.73,-89.29,1893
San Vicente,El Salvador,Stratovolcano,13.6,-88.84,2182
Sanbe,Honshu-Japan,Stratovolcano,35.13,132.62,1126
Sand Mountain Field,US-Oregon,Cinder cones,44.38,-121.93,1664
Sanford,Alaska-E,Shield volcano,62.22,-144.13,4949
Sangang ey,Mexico,Stratovolcano,21.45,-104.73,2340
Sangay,Ecuador,Stratovolcano,-2,-78.34,5230
Sangeang Api,Lesser Sunda Is,Complex volcano,-8.2,119.07,1949
"Sano, Wai",Lesser Sunda Is,Caldera,-8.72,120.02,903
Santa Ana,El Salvador,Stratovolcano,13.85,-89.63,2381
Santa Clara,US-Utah,Volcanic field,37.26,-113.63,1465
Santa Cruz,Gal pagos,Shield volcano,-0.62,-90.33,864
Santa Isabel,Africa-W,Shield volcano,3.58,8.75,3007
Santa Isabel,Colombia,Shield volcano,4.82,-75.37,4950
Santa Mar a,Guatemala,Stratovolcano,14.76,-91.55,3772
Santiago,Gal pagos,Shield volcano,-0.22,-90.77,920
"Santiago, Cerro",Guatemala,Volcanic field,14.33,-89.87,1192
Santo Tomas,Luzon-Philippines,Stratovolcano,16.33,120.55,2260
Santorini,Greece,Shield volcanoes,36.4,25.4,367
Sao Tome,Africa-W,Shield volcano,0.2,6.58,2024
Sao Vicente,Cape Verde Is,Stratovolcano,16.85,-24.97,725
Sara Sara,Peru,Stratovolcano,-15.33,-73.45,5522
Sarigan,Mariana Is-C Pacific,Stratovolcano,16.71,145.78,538
Sarik-Gajah,Sumatra,Pyroclastic cones,0.08,100.2,
Sarychev Peak,Kuril Is,Stratovolcano,48.09,153.2,1496
Satah Mountain,Canada,Volcanic field,52.47,-124.7,1921
Savai'i,Samoa-SW Pacific,Shield volcano,-13.61,-172.53,1858
Savo,Solomon Is-SW Pacific,Stratovolcano,-9.13,159.82,485
"Saw d, Harra es-",Arabia-S,Volcanic field,13.58,46.12,1737
Schmidt,Kamchatka,Shield volcano,54.92,160.63,2020
Seal Nunataks Group,Antarctica,Pyroclastic cones,-65.03,-60.05,368
Seamount X,Mariana Is-C Pacific,Submarine volcano,13.25,144.02,-1230
Sedankinsky,Kamchatka,Shield volcano,57.27,160.08,1241
Segererua Plateau,Africa-E,Pyroclastic cones,1.57,37.9,699
Seguam,Aleutian Is,Stratovolcanoes,52.32,-172.51,1054
Segula,Aleutian Is,Stratovolcano,52.02,178.14,1160
Sekincau Belirang,Sumatra,Calderas,-5.12,104.32,1719
Semeru,Java,Stratovolcano,-8.11,112.92,3676
Semisopochnoi,Aleutian Is,Stratovolcano,51.93,179.58,1221
Sempu,Sulawesi-Indonesia,Caldera,1.13,124.76,1549
Serd n-Oriental,Mexico,Tuff cones,19.27,-97.47,3485
Sergief,Aleutian Is,Stratovolcano,52.05,-174.95,560
Serua,Banda Sea,Stratovolcano,-6.3,130,641
Sessagara,New Guinea,Pyroclastic cones,-9.48,149.13,370
Sete Cidades,Azores,Stratovolcano,37.87,-25.78,856
Seulawah Agam,Sumatra,Stratovolcano,5.45,95.66,1810
Severny,Kamchatka,Shield volcano,58.28,160.87,1936
Sharat Kovakab,Syria,Volcanic field,36.53,40.85,534
Shasta,US-California,Stratovolcano,41.41,-122.19,4317
Shiga,Honshu-Japan,Shield volcanoes,36.69,138.52,2041
Shikaribetsu Group,Hokkaido-Japan,Lava domes,43.31,143.1,1401
Shikotsu,Hokkaido-Japan,Caldera,42.69,141.38,1320
Shiretoko-Iwo-zan,Hokkaido-Japan,Stratovolcano,44.13,145.17,1563
Shiribetsu,Hokkaido-Japan,Stratovolcano,42.77,140.92,1107
Shirinki,Kuril Is,Stratovolcano,50.2,154.98,761
Shishaldin,Aleutian Is,Stratovolcano,54.76,-163.97,2857
Shisheika,Kamchatka,Lava dome,57.15,161.08,379
Shishel,Kamchatka,Shield volcano,57.45,160.37,2525
Shiveluch,Kamchatka,Stratovolcano,56.65,161.36,3283
Shoshone Lava Field,US-Idaho,Shield volcano,43.18,-114.35,1478
Sibayak,Sumatra,Stratovolcanoes,3.23,98.52,2212
Sibualbuali,Sumatra,Stratovolcano,1.56,99.26,1819
Sikhote-Alin,Russia-SE,Volcanic field,47,137.5,
Silali,Africa-E,Shield volcano,1.15,36.23,1528
Silay,Philippines-C,Stratovolcano,10.77,123.23,1510
Silver Lake,US-California,Cinder cones,40.73,-121.84,1535
Silverthrone,Canada,Caldera,51.43,-126.3,3160
Simbo,Solomon Is-SW Pacific,Stratovolcanoes,-8.29,156.52,335
Sinabung,Sumatra,Stratovolcano,3.17,98.39,2460
Sinarka,Kuril Is,Stratovolcano,48.88,154.18,934
Singu Plateau,SE Asia,Fissure vents,22.7,95.98,507
"Sing il, Cerro",El Salvador,Cinder cones,14.05,-89.65,957
Siple,Antarctica,Shield volcano,-73.43,-126.67,3110
Sirung,Lesser Sunda Is,Complex volcano,-8.51,124.13,862
Sisters,US-Oregon,Complex volcano,44.1,121.75,3158
Slamet,Java,Stratovolcano,-7.24,109.21,3428
Smirnov,Kuril Is,Stratovolcano,44.42,146.14,1189
Smith Rock,Izu Is-Japan,Submarine volcano,31.44,140.05,136
Snaefellsj kull,Iceland-W,Stratovolcano,64.8,-23.78,1448
Snegovoy,Kamchatka,Shield volcano,58.2,160.97,2169
Snezhniy,Kamchatka,Shield volcano,58.02,160.8,2169
Snowy Mountain,Alaska Peninsula,Stratovolcanoes,58.34,-154.68,2162
Soche,Ecuador,Stratovolcano,0.55,-77.58,3955
Socompa,Chile-N,Stratovolcano,-24.4,-68.25,6051
Socorro,Mexico-Is,Shield volcano,18.78,-110.95,1050
Soda Lakes,US-Nevada,Maars,39.53,-118.87,1251
Sodore,Ethiopia,Pyroclastic cones,8.43,39.35,1765
Sofugan,Izu Is-Japan,Stratovolcano,29.79,140.35,99
Sollipulli,Chile-C,Caldera,-38.97,-71.52,2282
"Solo, El",Chile-N,Stratovolcano,-27.11,-68.72,6190
Soputan,Sulawesi-Indonesia,Stratovolcano,1.11,124.73,1784
Sorikmarapi,Sumatra,Stratovolcano,0.69,99.54,2145
Sork Ale,Ethiopia,Stratovolcano,13.18,41.73,1611
Sotar ,Colombia,Stratovolcano,2.11,-76.59,4400
Soufri re Guadeloupe,W Indies,Stratovolcano,16.05,-61.67,1467
Soufri re Hills,W Indies,Stratovolcano,16.72,-62.18,915
Soufri re St. Vincent,W Indies,Stratovolcano,13.33,-61.18,1220
South Island,Africa-E,Stratovolcano,2.63,36.6,800
South Sister,US-Oregon,Complex volcano,44.1,-121.77,3157
Southern EPR-Segment I,Pacific-E,Submarine volcano,-18.53,-113.42,-2600
Southern EPR-Segment J,Pacific-E,Submarine volcano,-18.18,-113.35,-2650
Southern EPR-Segment K,Pacific-E,Submarine volcano,-17.44,-113.21,-2566
SP Mountain,US-Arizona,Cinder Cone,35.6,-111.6,2141
Spectrum Range,Canada,Shield volcano,57.43,-130.68,2430
Spokoiny,Kamchatka,Stratovolcano,58.13,160.82,2171
Spurr,Alaska-SW,Stratovolcano,61.3,-152.25,3374
Squaw Ridge Lava Field,US-Oregon,Volcanic field,43.47,-120.75,1711
Srednii,Kuril Is,Submarine volcano,47.6,152.92,36
St. Andrew Strait,Admiralty Is-SW Pacific,Complex volcano,-2.38,147.35,270
St. Catherine,W Indies,Stratovolcano,12.15,-61.67,840
St. Helens,US-Washington,Stratovolcano,46.2,-122.18,2549
St. Michael,Alaska-W,Shield volcanoes,63.45,-162.12,715
St. Paul,Indian O.-S,Stratovolcano,-38.72,77.53,268
St. Paul Island,Alaska-W,Shield volcano,57.18,-170.3,203
Steller,Alaska Peninsula,Stratovolcano,58.43,-154.4,2272
Stepovak,Alaska Peninsula,Cinder cones,55.93,-160,1555
Stromboli,Italy,Stratovolcano,38.79,15.21,924
Sturge Island,Antarctica,Stratovolcano,-67.4,164.83,1167
Suchit n,Guatemala,Stratovolcanoes,14.4,-89.78,2042
S phan Dagi,Turkey,Stratovolcano,38.92,42.82,4158
Suiyo Seamount,Izu Is-Japan,Submarine volcano,28.6,140.63,-1418
Sukaria Caldera,Lesser Sunda Is,Caldera,-8.79,121.77,1500
Sulu Range,New Britain-SW Pac,Stratovolcanoes,-5.5,150.94,610
Sumaco,Ecuador,Stratovolcano,-0.54,-77.63,3990
